2025-02-04 15:44:49 configure linux-image-5.15.0-131-generic:amd64 5.15.0-131.141 <none>
2025-02-04 15:44:49 status unpacked linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 status half-configured linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 status installed linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 status triggers-pending linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 configure linux-image-virtual:amd64 5.15.0.131.129 <none>
2025-02-04 15:44:49 status unpacked linux-image-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:49 status half-configured linux-image-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:49 status installed linux-image-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:49 configure linux-modules-5.15.0-131-generic:amd64 5.15.0-131.141 <none>
2025-02-04 15:44:49 status unpacked linux-modules-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:49 status half-configured linux-modules-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:50 status installed linux-modules-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:50 configure linux-virtual:amd64 5.15.0.131.129 <none>
2025-02-04 15:44:50 status unpacked linux-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:50 status half-configured linux-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:50 status installed linux-virtual:amd64 5.15.0.131.129
2025-02-04 15:44:50 trigproc linux-image-5.15.0-131-generic:amd64 5.15.0-131.141 <none>
2025-02-04 15:44:50 status half-configured linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:44:57 status installed linux-image-5.15.0-131-generic:amd64 5.15.0-131.141
2025-02-04 15:45:02 startup archives unpack
2025-02-04 15:45:03 upgrade bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.1 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status half-configured bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status unpacked bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status half-installed bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status triggers-pending man-db:amd64 2.10.2-1
2025-02-04 15:45:03 status unpacked bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 upgrade bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.1 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status half-configured bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status unpacked bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status half-installed bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status unpacked bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 upgrade bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.1 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:45:03 status half-configured bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status unpacked bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status half-installed bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.1
2025-02-04 15:45:03 status unpacked bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 startup packages configure
2025-02-04 15:45:03 configure bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.2 <none>
2025-02-04 15:45:03 status unpacked bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status half-configured bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status installed bind9-libs:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 configure bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.2 <none>
2025-02-04 15:45:03 status unpacked bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status half-configured bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status installed bind9-host:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 configure bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.2 <none>
2025-02-04 15:45:03 status unpacked bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status half-configured bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 status installed bind9-dnsutils:amd64 1:9.18.30-0ubuntu0.22.04.2
2025-02-04 15:45:03 trigproc man-db:amd64 2.10.2-1 <none>
2025-02-04 15:45:03 status half-configured man-db:amd64 2.10.2-1
2025-02-04 15:45:03 status installed man-db:amd64 2.10.2-1
2025-02-04 15:45:03 trigproc libc-bin:amd64 2.35-0ubuntu3.8 <none>
2025-02-04 15:45:03 status half-configured libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:45:03 status installed libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:45:06 startup archives unpack
2025-02-04 15:45:06 upgrade python3-jinja2:all 3.0.3-1ubuntu0.2 3.0.3-1ubuntu0.3
2025-02-04 15:45:06 status half-configured python3-jinja2:all 3.0.3-1ubuntu0.2
2025-02-04 15:45:07 status unpacked python3-jinja2:all 3.0.3-1ubuntu0.2
2025-02-04 15:45:07 status half-installed python3-jinja2:all 3.0.3-1ubuntu0.2
2025-02-04 15:45:07 status unpacked python3-jinja2:all 3.0.3-1ubuntu0.3
2025-02-04 15:45:07 startup packages configure
2025-02-04 15:45:07 configure python3-jinja2:all 3.0.3-1ubuntu0.3 <none>
2025-02-04 15:45:07 status unpacked python3-jinja2:all 3.0.3-1ubuntu0.3
2025-02-04 15:45:07 status half-configured python3-jinja2:all 3.0.3-1ubuntu0.3
2025-02-04 15:45:07 status installed python3-jinja2:all 3.0.3-1ubuntu0.3
2025-02-04 15:45:11 startup archives unpack
2025-02-04 15:45:11 upgrade libxml2:amd64 2.9.13+dfsg-1ubuntu0.4 2.9.13+dfsg-1ubuntu0.5
2025-02-04 15:45:11 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:45:11 status half-configured libxml2:amd64 2.9.13+dfsg-1ubuntu0.4
2025-02-04 15:45:11 status unpacked libxml2:amd64 2.9.13+dfsg-1ubuntu0.4
2025-02-04 15:45:11 status half-installed libxml2:amd64 2.9.13+dfsg-1ubuntu0.4
2025-02-04 15:45:11 status unpacked libxml2:amd64 2.9.13+dfsg-1ubuntu0.5
2025-02-04 15:45:11 startup packages configure
2025-02-04 15:45:11 configure libxml2:amd64 2.9.13+dfsg-1ubuntu0.5 <none>
